2015-10-06 09:48:08,734 [6] INFO  Umbraco.Core.CoreBootManager - [P3168/T1/D2] Umbraco 7.2.8 application starting on DV6
2015-10-06 09:48:08,869 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Determining hash of code files on disk
2015-10-06 09:48:08,882 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Hash determined (took 12ms)
2015-10-06 09:48:08,887 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-10-06 09:48:08,933 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 45ms)
2015-10-06 09:48:09,153 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-10-06 09:48:09,154 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-10-06 09:48:09,154 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-10-06 09:48:09,155 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 1ms)
2015-10-06 09:48:09,211 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-10-06 09:48:09,212 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 5 (took 1ms)
2015-10-06 09:48:09,213 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-10-06 09:48:09,216 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 2ms)
2015-10-06 09:48:09,323 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-10-06 09:48:09,324 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-10-06 09:48:09,324 [6] INFO  Umbraco.Core.PluginManager - [P3168/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
